Date, GM price
2014-05-09, 34.2300
2014-05-12, 34.8200
2014-05-13, 35.1500
2014-05-14, 34.9400
2014-05-15, 34.3600
2014-05-16, 34.0000
2014-05-19, 32.6800
2014-05-20, 33.0700
2014-05-21, 33.4600
2014-05-22, 33.4200
2014-05-23, 33.6300
2014-05-27, 33.9400
2014-05-28, 34.5900
2014-05-29, 34.4500
2014-05-30, 34.5800
2014-06-02, 34.8600
2014-06-03, 35.2600
2014-06-04, 36.5200
2014-06-05, 36.2700
2014-06-06, 36.5500
2014-06-09, 36.5000
2014-06-10, 36.4000
2014-06-11, 36.1200
2014-06-12, 35.5200
2014-06-13, 35.6300
2014-06-16, 36.0600
2014-06-17, 36.3600
2014-06-18, 36.3000
2014-06-19, 36.3700
2014-06-20, 36.2200
2014-06-23, 36.6700
2014-06-24, 36.5800
2014-06-25, 37.0900
2014-06-26, 36.9000
2014-06-27, 36.6200
2014-06-30, 36.3000
2014-07-01, 37.5900
2014-07-02, 37.7400
2014-07-03, 37.7400
2014-07-07, 37.4400
2014-07-08, 37.5800
2014-07-09, 37.9700
2014-07-10, 37.7500
2014-07-11, 37.9500
2014-07-14, 37.7000
2014-07-15, 37.5800
2014-07-16, 37.4800
2014-07-17, 37.1000
2014-07-18, 37.4100
2014-07-21, 37.4300
2014-07-22, 37.7600
2014-07-23, 37.4100
2014-07-24, 35.7400
2014-07-25, 35.0700
2014-07-28, 34.9000
2014-07-29, 34.4500
2014-07-30, 34.3100
2014-07-31, 33.8200
2014-08-01, 33.4400
2014-08-04, 33.6100
2014-08-05, 33.3600
2014-08-06, 33.4000
2014-08-07, 33.1100
2014-08-08, 33.5300
2014-08-11, 33.8000
2014-08-12, 33.7000
2014-08-13, 33.9500
2014-08-14, 33.9500
2014-08-15, 33.8400
2014-08-18, 34.4000
2014-08-19, 34.5700
2014-08-20, 34.5300
2014-08-21, 34.6000
2014-08-22, 34.2400
2014-08-25, 34.6700
2014-08-26, 34.8500
2014-08-27, 34.7100
2014-08-28, 34.6800
2014-08-29, 34.8000
2014-09-02, 34.8000
2014-09-03, 34.4700
2014-09-04, 34.6300
2014-09-05, 34.5800
2014-09-08, 33.2400
2014-09-09, 33.0700
2014-09-10, 33.2900
2014-09-11, 33.6100
2014-09-12, 33.2700
2014-09-15, 33.6300
2014-09-16, 33.7100
2014-09-17, 33.8500
2014-09-18, 34.0300
2014-09-19, 33.9400
2014-09-22, 33.4400
2014-09-23, 33.2200
2014-09-24, 33.6500
2014-09-25, 32.8700
2014-09-26, 33.1700
2014-09-29, 32.2200
2014-09-30, 31.9400
2014-10-01, 32.4900
2014-10-02, 33.1800
2014-10-03, 33.7600
2014-10-06, 33.7500
2014-10-07, 31.7700
2014-10-08, 32.1800
2014-10-09, 31.0300
2014-10-10, 30.2900
2014-10-13, 29.7900
2014-10-14, 30.1100
2014-10-15, 29.6900
2014-10-16, 29.9400
2014-10-17, 30.2400
2014-10-20, 30.3400
2014-10-21, 30.8400
2014-10-22, 31.3100
2014-10-23, 30.9300
2014-10-24, 30.0400
2014-10-27, 30.0800
2014-10-28, 31.1700
2014-10-29, 30.7200
2014-10-30, 31.4200
2014-10-31, 31.4000
2014-11-03, 31.1800
2014-11-04, 30.8200
2014-11-05, 30.7300
2014-11-06, 31.3700
2014-11-07, 31.5900
2014-11-10, 31.1200
2014-11-11, 31.3500
2014-11-12, 31.4200
2014-11-13, 31.6500
2014-11-14, 31.7900
2014-11-17, 32.3100
2014-11-18, 32.2700
2014-11-19, 32.1500
2014-11-20, 32.1300
2014-11-21, 32.1300
2014-11-24, 32.1900
2014-11-25, 32.2300
2014-11-26, 32.0700
2014-11-28, 33.4300
2014-12-01, 32.9400
2014-12-02, 33.2600
2014-12-03, 33.6400
2014-12-04, 33.0900
2014-12-05, 33.9300
2014-12-08, 32.6800
2014-12-09, 32.8100
2014-12-10, 31.9700
2014-12-11, 32.1900
2014-12-12, 31.5700
2014-12-15, 31.0000
2014-12-16, 30.7300
2014-12-17, 31.1500
2014-12-18, 31.7500
2014-12-19, 32.8100
2014-12-22, 33.2300
2014-12-23, 33.5600
2014-12-24, 33.4300
2014-12-26, 33.7300
2014-12-29, 34.6000
2014-12-30, 35.0900
2014-12-31, 34.9100
2015-01-02, 34.8400
2015-01-05, 34.3300
2015-01-06, 34.8500
2015-01-07, 35.8400
2015-01-08, 36.2000
2015-01-09, 35.5900
2015-01-12, 35.8400
2015-01-13, 35.2500
2015-01-14, 34.3000
2015-01-15, 33.4300
2015-01-16, 33.6800
2015-01-20, 33.9300
2015-01-21, 33.8900
2015-01-22, 33.8200
2015-01-23, 33.7500
2015-01-26, 33.7000
2015-01-27, 33.4200
2015-01-28, 32.8400
2015-01-29, 33.1600
2015-01-30, 32.6200
2015-02-02, 33.1100
2015-02-03, 33.9800
2015-02-04, 35.8300
2015-02-05, 36.2500
2015-02-06, 36.0000
2015-02-09, 36.0000
2015-02-10, 37.5200
2015-02-11, 37.6700
2015-02-12, 38.0200
2015-02-13, 37.6200
2015-02-17, 37.2400
2015-02-18, 37.1900
2015-02-19, 37.5100
2015-02-20, 37.6500
2015-02-23, 37.6900
2015-02-24, 37.7500
2015-02-25, 37.8600
